valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2015-01-01,2015,18.62918,15.431305,81.66565,12.493048,18.585024,La Union-Narino
2015-01-01,2015,15.587555,11.431305,76.298485,3.8932106,18.93552,Ricaurte-Moniquira
2015-02-01,2015,18.771759,15.951813,83.682144,10.392971,18.140713,La Union-Narino
2015-02-01,2015,15.988922,12.668121,80.67337,5.935572,18.381824,Ricaurte-Moniquira
2015-03-01,2015,18.606598,16.15274,85.64193,18.666845,17.384708,La Union-Narino
2015-03-01,2015,16.02945,13.143219,83.003944,7.540397,18.318607,Ricaurte-Moniquira
2015-04-01,2015,19.077911,16.039581,82.55946,17.487564,18.110704,La Union-Narino
2015-04-01,2015,16.369537,13.250641,81.79529,11.235106,17.785149,Ricaurte-Moniquira
2015-05-01,2015,19.096588,15.633209,80.34903,13.599671,17.771502,La Union-Narino
2015-05-01,2015,16.640778,12.795807,78.04281,8.861885,18.225807,Ricaurte-Moniquira
2015-06-01,2015,19.551178,14.285065,71.61703,7.602145,16.853668,La Union-Narino
2015-06-01,2015,16.603668,11.971344,74.10498,7.0424056,17.86712,Ricaurte-Moniquira
2015-07-01,2015,19.54898,14.40152,72.1682,8.717388,16.873468,La Union-Narino
2015-07-01,2015,16.484283,11.480377,72.288826,7.529437,17.71168,Ricaurte-Moniquira
2015-08-01,2015,20.169586,13.162994,64.07797,3.2129753,18.785503,La Union-Narino
2015-08-01,2015,16.524323,11.228912,70.9148,6.4113708,19.153025,Ricaurte-Moniquira
2015-09-01,2015,20.414948,13.103668,62.870155,3.510798,20.999249,La Union-Narino
2015-09-01,2015,16.788239,10.750397,67.55571,6.7933445,20.156752,Ricaurte-Moniquira
2015-10-01,2015,19.206818,15.457428,78.90547,14.759992,18.266129,La Union-Narino
2015-10-01,2015,16.538239,12.218658,75.63477,7.711685,17.388817,Ricaurte-Moniquira
2015-11-01,2015,18.780182,16.039703,84.10872,14.478791,16.359282,La Union-Narino
2015-11-01,2015,16.17276,13.383942,83.549866,9.671942,16.574303,Ricaurte-Moniquira
2015-12-01,2015,19.910797,15.215363,74.365204,5.773073,19.17144,La Union-Narino
2015-12-01,2015,16.815338,11.815338,72.36781,5.93038,19.10936,Ricaurte-Moniquira
2016-01-01,2016,19.652008,16.449615,81.7716,8.19594,19.25144,La Union-Narino
2016-01-01,2016,16.775543,12.61319,76.45796,3.1922808,19.085648,Ricaurte-Moniquira
2016-02-01,2016,19.835114,16.695953,82.12381,14.024261,18.847153,La Union-Narino
2016-02-01,2016,17.415924,13.342682,77.0057,5.728396,18.466864,Ricaurte-Moniquira
2016-03-01,2016,19.536774,16.954498,85.04177,16.266138,18.155918,La Union-Narino
2016-03-01,2016,17.46695,14.125885,80.76484,6.4639187,18.97288,Ricaurte-Moniquira
2016-04-01,2016,19.41214,17.00821,85.995285,18.398699,17.318413,La Union-Narino
2016-04-01,2016,16.831207,14.299713,85.0313,11.718571,16.740349,Ricaurte-Moniquira
2016-05-01,2016,19.487701,16.412994,82.41815,13.515595,16.679438,La Union-Narino
2016-05-01,2016,16.771149,13.810944,82.69461,12.172602,16.437511,Ricaurte-Moniquira
2016-06-01,2016,19.094635,14.984161,77.08019,10.506257,16.914364,La Union-Narino
2016-06-01,2016,16.267487,12.233551,77.02465,7.8534036,18.170378,Ricaurte-Moniquira
2016-07-01,2016,18.996735,14.0781555,73.145676,6.157264,16.773895,La Union-Narino
2016-07-01,2016,15.998688,11.928864,76.80077,8.755837,17.889067,Ricaurte-Moniquira
2016-08-01,2016,20.009674,13.450836,65.940796,3.5560842,19.5752,La Union-Narino
2016-08-01,2016,16.256989,11.368317,72.80065,6.4121933,19.8004,Ricaurte-Moniquira
2016-09-01,2016,19.190094,14.771027,75.5786,9.977024,19.785969,La Union-Narino
2016-09-01,2016,16.162262,11.745026,75.087715,8.338982,19.008673,Ricaurte-Moniquira
2016-10-01,2016,18.565338,16.039948,85.24778,15.316483,18.03556,La Union-Narino
2016-10-01,2016,16.129913,12.965973,81.524376,9.181492,16.567724,Ricaurte-Moniquira
2016-11-01,2016,18.514801,16.044464,85.542564,17.230097,16.98817,La Union-Narino
2016-11-01,2016,15.7586975,13.426666,86.027435,7.9084487,16.436892,Ricaurte-Moniquira
2016-12-01,2016,18.144562,16.178375,88.302704,20.557072,17.002008,La Union-Narino
2016-12-01,2016,15.721222,13.227692,85.1228,7.643171,16.130857,Ricaurte-Moniquira
2017-01-01,2017,18.07901,15.591217,85.402214,17.063152,16.196014,La Union-Narino
2017-01-01,2017,15.3854065,12.300812,81.853485,5.17662,18.714993,Ricaurte-Moniquira
2017-02-01,2017,18.699127,15.279083,80.518974,9.75908,18.874657,La Union-Narino
2017-02-01,2017,15.761871,11.772614,77.1726,3.082091,20.684608,Ricaurte-Moniquira
2017-03-01,2017,18.33902,16.24295,87.59158,18.922928,17.170294,La Union-Narino
2017-03-01,2017,15.40567,13.27066,87.10457,9.648241,16.688461,Ricaurte-Moniquira
2017-04-01,2017,19.236359,16.35196,83.39241,14.056601,18.899776,La Union-Narino
2017-04-01,2017,16.2836,13.227936,82.12242,8.683633,18.747025,Ricaurte-Moniquira
2017-05-01,2017,18.707794,16.217926,85.455925,15.5853815,17.145397,La Union-Narino
2017-05-01,2017,16.290924,13.592926,84.05887,11.012212,16.880075,Ricaurte-Moniquira
2017-06-01,2017,18.86795,15.829132,82.531364,13.401821,17.151108,La Union-Narino
2017-06-01,2017,16.109283,13.291412,83.3844,10.784782,16.994328,Ricaurte-Moniquira
2017-07-01,2017,19.510162,13.263092,67.18873,2.5863078,17.606731,La Union-Narino
2017-07-01,2017,16.16397,12.158112,77.15082,8.181179,18.206268,Ricaurte-Moniquira
2017-08-01,2017,19.554352,13.870392,69.70464,5.2540903,19.866688,La Union-Narino
