valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ
2015-01-01,2015,18.62918,15.431305,81.66565,12.493048,18.585024
2015-02-01,2015,18.771759,15.951813,83.682144,10.392971,18.140713
2015-03-01,2015,18.606598,16.15274,85.64193,18.666845,17.384708
2015-04-01,2015,19.077911,16.039581,82.55946,17.487564,18.110704
2015-05-01,2015,19.096588,15.633209,80.34903,13.599671,17.771502
2015-06-01,2015,19.551178,14.285065,71.61703,7.602145,16.853668
2015-07-01,2015,19.54898,14.40152,72.1682,8.717388,16.873468
2015-08-01,2015,20.169586,13.162994,64.07797,3.2129753,18.785503
2015-09-01,2015,20.414948,13.103668,62.870155,3.510798,20.999249
2015-10-01,2015,19.206818,15.457428,78.90547,14.759992,18.266129
2015-11-01,2015,18.780182,16.039703,84.10872,14.478791,16.359282
2015-12-01,2015,19.910797,15.215363,74.365204,5.773073,19.17144
2016-01-01,2016,19.652008,16.449615,81.7716,8.19594,19.25144
2016-02-01,2016,19.835114,16.695953,82.12381,14.024261,18.847153
2016-03-01,2016,19.536774,16.954498,85.04177,16.266138,18.155918
2016-04-01,2016,19.41214,17.00821,85.995285,18.398699,17.318413
2016-05-01,2016,19.487701,16.412994,82.41815,13.515595,16.679438
2016-06-01,2016,19.094635,14.984161,77.08019,10.506257,16.914364
2016-07-01,2016,18.996735,14.0781555,73.145676,6.157264,16.773895
2016-08-01,2016,20.009674,13.450836,65.940796,3.5560842,19.5752
2016-09-01,2016,19.190094,14.771027,75.5786,9.977024,19.785969
2016-10-01,2016,18.565338,16.039948,85.24778,15.316483,18.03556
2016-11-01,2016,18.514801,16.044464,85.542564,17.230097,16.98817
2016-12-01,2016,18.144562,16.178375,88.302704,20.557072,17.002008
2017-01-01,2017,18.07901,15.591217,85.402214,17.063152,16.196014
2017-02-01,2017,18.699127,15.279083,80.518974,9.75908,18.874657
2017-03-01,2017,18.33902,16.24295,87.59158,18.922928,17.170294
2017-04-01,2017,19.236359,16.35196,83.39241,14.056601,18.899776
2017-05-01,2017,18.707794,16.217926,85.455925,15.5853815,17.145397
2017-06-01,2017,18.86795,15.829132,82.531364,13.401821,17.151108
2017-07-01,2017,19.510162,13.263092,67.18873,2.5863078,17.606731
2017-08-01,2017,19.554352,13.870392,69.70464,5.2540903,19.866688
2017-09-01,2017,19.434235,14.561432,73.43937,9.057284,20.285488
2017-10-01,2017,18.567657,15.552887,82.62194,16.438156,18.132725
2017-11-01,2017,18.359528,16.300934,87.80275,13.360795,17.326693
2017-12-01,2017,18.517487,15.972443,85.13588,12.817115,18.539455
2018-01-01,2018,17.88858,15.586578,86.40516,14.222175,17.620724
2018-02-01,2018,18.658844,16.137848,85.28144,17.650467,17.203466
2018-03-01,2018,18.65384,15.980988,84.45856,14.624785,19.690351
2018-04-01,2018,18.504059,15.900909,84.8191,16.396664,16.835032
2018-05-01,2018,18.536774,16.265411,86.63694,22.79305,16.668852
2018-06-01,2018,19.187408,15.252716,77.970146,11.042587,16.253113
2018-07-01,2018,19.708405,14.065216,69.918976,6.4057894,17.695383
2018-08-01,2018,20.08609,12.622345,62.172222,2.6415145,20.515615
2018-09-01,2018,19.511139,13.996979,70.468315,6.8242774,20.959232
2018-10-01,2018,18.807648,15.876251,83.09265,12.645901,18.58848
2018-11-01,2018,18.656647,16.684235,88.31091,16.668816,15.406103
2018-12-01,2018,18.925446,15.417267,80.09552,9.214487,19.204384
2019-01-01,2019,19.399567,15.4888,78.12147,9.617917,18.862465
2019-02-01,2019,19.16043,16.552277,84.862305,17.286577,18.280928
2019-03-01,2019,19.443268,16.544586,83.34071,14.356628,18.917631
2019-04-01,2019,19.118317,16.595856,85.321304,17.073776,17.567036
2019-05-01,2019,19.115997,16.261139,83.53551,15.667215,17.168941
2019-06-01,2019,19.507477,15.5121155,77.715164,11.522721,16.676235
2019-07-01,2019,19.521881,14.056183,70.69206,6.6750536,17.810375
2019-08-01,2019,20.45816,10.849396,54.05053,0.8841516,21.208977
2019-09-01,2019,20.021149,13.7388,67.139725,6.7155714,20.066368
2019-10-01,2019,18.311554,15.636261,84.40779,16.979668,18.57234
2019-11-01,2019,18.749054,16.450104,86.50522,15.041783,16.612984
2019-12-01,2019,18.803375,16.546906,86.74442,16.960613,17.107115
2020-01-01,2020,19.644562,15.869293,78.83773,6.70952,19.149632
2020-02-01,2020,19.600494,16.220001,80.84295,10.692735,20.008415
2020-03-01,2020,19.26529,16.585724,84.4893,16.746244,18.576448
2020-04-01,2020,19.201447,16.710968,85.50337,21.33564,17.518858
2020-05-01,2020,19.558014,16.686432,83.497635,16.542036,16.420183
2020-06-01,2020,19.021759,15.778229,81.47732,13.742637,17.032331
2020-07-01,2020,18.945465,14.954742,77.65358,12.143329,17.301785
2020-08-01,2020,19.120758,14.168121,73.00637,9.215429,19.313776
2020-09-01,2020,18.871979,14.897247,77.72246,10.984108,20.67608
2020-10-01,2020,19.398834,15.151398,76.451614,10.657035,19.532896
2020-11-01,2020,18.620758,15.85733,83.96764,14.284492,18.789814
2020-12-01,2020,18.139313,16.17398,88.307076,19.29989,15.999548
2021-01-01,2021,18.291656,15.935822,86.14764,18.758402,18.184616
2021-02-01,2021,18.65982,16.356232,86.47111,14.774565,17.081152
2021-03-01,2021,18.064362,15.782623,86.53431,17.287844,16.678783
2021-04-01,2021,18.355133,15.94632,85.862946,20.138338,16.619484
2021-05-01,2021,18.899933,16.18863,84.278694,19.435268,16.902897
2021-06-01,2021,18.341461,15.54837,83.776794,17.521471,16.38261
2021-07-01,2021,19.095612,14.060455,72.61272,7.8938603,16.871996
2021-08-01,2021,18.742828,13.989288,73.88784,13.388045,18.44352
2021-09-01,2021,18.829254,14.126251,74.14509,13.535638,19.819344
2021-10-01,2021,18.38028,15.705719,84.419304,17.513401,18.031864
2021-11-01,2021,18.021759,16.151398,88.833664,17.513857,15.770295
2021-12-01,2021,18.360748,16.56009,89.25569,17.323893,15.830987
2022-01-01,2022,18.006622,15.862946,87.295944,15.918556,16.370687
2022-02-01,2022,17.845612,15.928131,88.55254,19.125875,15.607302
2022-03-01,2022,18.087555,15.880402,86.95004,19.638706,16.518625
2022-04-01,2022,18.532501,16.134308,85.93896,21.821678,17.003876
2022-05-01,2022,18.481354,15.96463,85.28619,20.383722,16.228703
2022-06-01,2022,17.640778,15.214508,85.694695,18.656366,16.858112
2022-07-01,2022,18.464996,15.210968,81.35091,13.894059,17.162073
2022-08-01,2022,18.699371,14.112213,74.68146,10.210771,19.408464
2022-09-01,2022,18.604645,14.094147,75.03739,10.26493,20.499985
2022-10-01,2022,18.276886,15.500641,83.85989,13.943482,17.690586
2022-11-01,2022,18.209747,15.573883,84.61,13.512928,17.421991
2022-12-01,2022,18.108429,15.74173,86.06968,15.325632,17.20716
2023-01-01,2023,17.832428,15.303986,85.154205,13.116102,17.265163
2023-02-01,2023,18.682404,15.67215,82.659744,14.585837,18.961231
2023-03-01,2023,18.201813,15.832916,86.06686,21.082275,15.96169
2023-04-01,2023,18.645905,15.950714,84.3373,17.77584,16.767044
2023-05-01,2023,19.504425,16.448639,82.51946,18.709835,16.39636
2023-06-01,2023,19.451813,15.059357,75.75067,9.979788,17.117908
2023-07-01,2023,19.78653,14.121735,69.83622,6.6422486,17.5469
2023-08-01,2023,20.194733,13.203888,64.149376,6.392587,18.667248
2023-09-01,2023,20.275543,14.121368,67.75249,8.396201,19.959135
2023-10-01,2023,19.209259,15.613312,79.685326,13.806947,18.08438
2023-11-01,2023,19.21939,16.550812,84.54332,15.842184,16.612938
2023-12-01,2023,19.262238,16.707916,85.16381,17.593168,15.623654
2024-01-01,2024,19.89859,16.122223,78.86869,11.777216,21.160944
2024-02-01,2024,19.82486,16.455109,80.92776,11.959162,18.830368
2024-03-01,2024,19.870758,16.660065,81.75604,11.857383,18.791697
2024-04-01,2024,19.366364,16.707794,84.61305,20.892136,17.918749
2024-05-01,2024,19.65628,17.06607,85.01165,20.56865,15.406765
2024-06-01,2024,19.432037,16.187897,81.526634,17.325062,15.869094
2024-07-01,2024,20.048004,13.302643,65.15246,3.9813929,18.137314
