valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ
2015-01-01,2015,15.587555,11.431305,76.298485,3.8932106,18.93552
2015-02-01,2015,15.988922,12.668121,80.67337,5.935572,18.381824
2015-03-01,2015,16.02945,13.143219,83.003944,7.540397,18.318607
2015-04-01,2015,16.369537,13.250641,81.79529,11.235106,17.785149
2015-05-01,2015,16.640778,12.795807,78.04281,8.861885,18.225807
2015-06-01,2015,16.603668,11.971344,74.10498,7.0424056,17.86712
2015-07-01,2015,16.484283,11.480377,72.288826,7.529437,17.71168
2015-08-01,2015,16.524323,11.228912,70.9148,6.4113708,19.153025
2015-09-01,2015,16.788239,10.750397,67.55571,6.7933445,20.156752
2015-10-01,2015,16.538239,12.218658,75.63477,7.711685,17.388817
2015-11-01,2015,16.17276,13.383942,83.549866,9.671942,16.574303
2015-12-01,2015,16.815338,11.815338,72.36781,5.93038,19.10936
2016-01-01,2016,16.775543,12.61319,76.45796,3.1922808,19.085648
2016-02-01,2016,17.415924,13.342682,77.0057,5.728396,18.466864
2016-03-01,2016,17.46695,14.125885,80.76484,6.4639187,18.97288
2016-04-01,2016,16.831207,14.299713,85.0313,11.718571,16.740349
2016-05-01,2016,16.771149,13.810944,82.69461,12.172602,16.437511
2016-06-01,2016,16.267487,12.233551,77.02465,7.8534036,18.170378
2016-07-01,2016,15.998688,11.928864,76.80077,8.755837,17.889067
2016-08-01,2016,16.256989,11.368317,72.80065,6.4121933,19.8004
2016-09-01,2016,16.162262,11.745026,75.087715,8.338982,19.008673
2016-10-01,2016,16.129913,12.965973,81.524376,9.181492,16.567724
2016-11-01,2016,15.7586975,13.426666,86.027435,7.9084487,16.436892
2016-12-01,2016,15.721222,13.227692,85.1228,7.643171,16.130857
2017-01-01,2017,15.3854065,12.300812,81.853485,5.17662,18.714993
2017-02-01,2017,15.761871,11.772614,77.1726,3.082091,20.684608
2017-03-01,2017,15.40567,13.27066,87.10457,9.648241,16.688461
2017-04-01,2017,16.2836,13.227936,82.12242,8.683633,18.747025
2017-05-01,2017,16.290924,13.592926,84.05887,11.012212,16.880075
2017-06-01,2017,16.109283,13.291412,83.3844,10.784782,16.994328
2017-07-01,2017,16.16397,12.158112,77.15082,8.181179,18.206268
2017-08-01,2017,16.09488,12.089264,77.141304,6.799065,19.773584
2017-09-01,2017,15.955719,12.294342,78.88616,10.024437,19.164207
2017-10-01,2017,15.785065,12.669098,81.736244,7.6640735,17.853935
2017-11-01,2017,15.738434,13.517975,86.65256,6.4522924,16.53562
2017-12-01,2017,15.664459,12.439362,81.13782,2.742409,18.595488
2018-01-01,2018,15.361237,12.465363,82.87102,5.27459,17.934656
2018-02-01,2018,15.634674,12.015778,79.06024,3.6261327,20.066463
2018-03-01,2018,15.7464905,12.781647,82.544235,7.6816716,19.529968
2018-04-01,2018,15.386139,13.053009,85.983734,10.074414,16.859589
2018-05-01,2018,15.729645,13.480377,86.48938,14.612894,15.86184
2018-06-01,2018,15.973541,12.411041,79.402664,8.556354,18.15586
2018-07-01,2018,15.955719,11.835846,76.54102,5.9970756,18.916
2018-08-01,2018,15.52066,10.823883,73.60118,4.634885,20.406368
2018-09-01,2018,15.598541,12.178131,80.09451,8.437778,18.776785
2018-10-01,2018,15.832672,13.433502,85.659615,10.107376,16.614029
2018-11-01,2018,15.939728,13.759186,86.89699,6.6067057,16.71368
2018-12-01,2018,15.603912,11.583282,76.98825,1.6931789,19.91888
2019-01-01,2019,15.69693,12.017853,78.75662,2.5627105,19.02904
2019-02-01,2019,16.254547,13.392609,83.16244,6.5864882,18.771729
2019-03-01,2019,16.192535,13.891144,86.24224,9.303175,17.629904
2019-04-01,2019,16.369293,13.886993,85.2537,10.702878,17.210903
2019-05-01,2019,16.394928,13.787018,84.56411,12.802493,16.122581
2019-06-01,2019,16.586823,13.092438,79.84414,8.361055,18.08022
2019-07-01,2019,16.126373,12.116119,77.122665,5.528867,19.2984
2019-08-01,2019,15.687897,11.237701,74.84452,3.6120934,20.293056
2019-09-01,2019,16.014069,12.178864,77.99851,6.854699,19.471489
2019-10-01,2019,15.423004,12.716949,83.91593,8.4861145,17.359377
2019-11-01,2019,15.726959,13.328766,85.65418,5.1826315,17.419249
2019-12-01,2019,16.105377,13.10025,82.37143,4.1928563,17.984753
2020-01-01,2020,15.903961,11.7969055,76.59751,1.0996295,19.809984
2020-02-01,2020,16.67984,12.010162,73.936066,2.7857933,20.450352
2020-03-01,2020,16.279938,13.139557,81.669266,5.582109,20.565008
2020-04-01,2020,16.557526,13.636383,82.878845,8.645922,18.591951
2020-05-01,2020,17.248688,13.700836,79.65888,9.536047,17.43816
2020-06-01,2020,16.227448,12.8055725,80.17359,7.909939,17.394968
2020-07-01,2020,16.069733,12.473785,79.24228,8.978983,17.389536
2020-08-01,2020,16.27066,12.356598,77.634186,7.6705675,18.224848
2020-09-01,2020,15.739166,12.045319,78.686264,9.199519,18.80288
2020-10-01,2020,15.952301,12.327789,79.07694,10.002987,17.81384
2020-11-01,2020,15.525055,13.613922,88.394394,9.4634,15.641182
2020-12-01,2020,15.488922,12.681793,83.36989,4.087639,17.52864
2021-01-01,2021,15.773102,11.131744,73.91677,2.3106694,20.192287
2021-02-01,2021,15.62735,11.897736,78.484634,4.167662,19.750496
